Row Labels,Ward/Project Number,Project Name,SubProject Name,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
1,Etobicoke North-01,,,,,,,,,,,,
,ACH000010-56,Cultural Infrastructure Development,Franklin Carmichael Art Centre Expansion - FY,300,0,0,0,0,0,0,0,0,0
,ACH000016-58,Major Maintenance ,Franklin Carmichael - FY,0,0,149,149,0,0,100,0,0,0
,ACH000016-84,Major Maintenance ,Franklin Carmichael - 2013,70,0,0,0,0,0,0,0,0,0
,FAC906394-204,Structural/Building Envelope,"1535 ALBION-Rpl Pavement,Window, Paints",0,0,0,0,8,76,0,0,0,0
,FAC906397-65,Renovations,1535 Albion Rd - Kitchen & WR Reno,0,10,96,0,0,0,0,0,0,0
,FIR907653-1,Bunker Suits Lifecycle Replacement-2020,Bunker Suits Lifecycle Replacement-2020,0,0,0,0,0,0,"4,300",0,0,0
,LIB000155-1,Albion District Library Renovation,Albion District Library Renovation,"1,076","6,621","5,844",795,0,0,0,0,0,0
,TRC000195-9,BLACK CREEK PIONEER VILLAGE RETROFIT,Post Current 5 year Project,0,0,0,0,0,350,350,350,350,350
,FAC906396-138,Sitework, 1535 Albion Road - Various Projects,0,0,0,0,0,0,0,0,0,3
,Etobicoke North-01 Total,,,"1,446","6,631","6,089",944,8,426,"4,750",350,350,353
2,Etobicoke North-02,,,,,,,,,,,,
,FAC906393-42,Re-roofing,947 Martin Grove-Rpl Training Centre Roofing ,88,0,0,0,0,0,0,0,0,0
,FAC906393-93,Re-roofing,150 Disco - Roof Membrane Replacement,619,0,0,0,0,0,0,0,0,0
,FAC906395-144,Mechanical and Electrical,150 Disco - Replace rooftop A/C units,0,0,0,0,65,822,0,0,0,0
,FAC906397-208,Renovations,"947 Martin Grove-Renovate Kitchen,WR",0,12,202,0,0,0,0,0,0,0
,HOM907634-10,Kipling Acres Redevelopment,Kipling Acres Site (Phase 1) - Scope Change,"5,000",0,0,0,0,0,0,0,0,0
,PKS000017-81,Park Development,Rexlington Park - Redevelopment^,0,0,50,850,0,0,0,0,0,0
,PKS023   -292,Community Centres,West Acres RC Redevelopment,550,0,0,0,0,0,0,0,0,0
,FIR907928-1,Station A (Stn 414)-Hwy 27 and Rexdale Blvd,Station A (Stn 414)-Hwy 27 and Rexdale Blvd,47,394,557,0,0,0,0,0,0,0
,Etobicoke North-02 Total,,,"6,304",406,809,850,65,822,0,0,0,0
3,Etobicoke Centre-03,,,,,,,,,,,,
